50
4
A0 A1 A2 A3 A4 A5 A6 A7 A8 A9 A10 A11 A12 A13 A14 A15 A16 A17 A18 A19 A20 A21 A22 A23 A24 A25 A26 A27 A28 A29 A30 A31 A32 A33 A34 A35 A36 A37 A38 A39 A40 A41 A42 A43 A44 A45 A46 A47 A48 A49
A0 A3 A6 A8
A0
x 10 x x x x x x x x x x x x x x x x x x x x 10 x x x x x x x x 16 x x x x x x x x x x x x x x x x x x
10 x x x x x x x x x x x x x x x x x x x x 19 13 x x x x x x x x x x x x x x x x x x 15 x x x x x x x x
x x x 16 x x x x x x x x x x x x x x x x x x 11 16 x x x x x x x x x x x x x x x x x x x x x x x x x x
x x 16 x x x x x x x 16 x x x x x x x x x x x 14 x 16 x x x x x x x x x x x 16 x x x x x x x x x x x x x
x x x x x x x x x x x x x x x x x x 19 x x x x x x 18 17 x x x x x x x x x x x x x x x x x x x x x x x
x x x x x x x x x x x x 15 x x x x x x x x x x x x x x 10 11 x x x x x x x x x x x x x x x x x x x x x
x x x x x x x 11 x x x x x x x x x x x x x x x x x x x x x x x x 18 x x x x x x x x x x x x x x x x x
x x x x x x 11 x x x x x x x x x x x x x x x x x x x x x x x x x x 19 x x x x x x x x x x x x x x x x
x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x 10 x x x x x x x x x x x x x x x
x x x x x x x x x x 17 x x x x x x x x x x x x x x x x x x x x x x x x 16 12 x x x x x 14 x x x x x x x
x x x 16 x x x x x 17 x 19 x x x x x x x x x x 14 x x x x x x x x x x x x x 11 18 x x x x x x x x x x x x
x x x x x x x x x x 19 x x x x x x x x x x x x x x x x x x x x x x x x x x x x 14 14 x 16 x x x x x x x
x x x x x 15 x x x x x x x x x x x 19 x x x x x x x x x x x x x x x x x x x x x x 18 x x x 14 x x x x x
x x x x x x x x x x x x x x 14 x x x x x x x x x x x x x x x x x x x x x x x x x x x x x 13 x x x x x
x x x x x x x x x x x x x 14 x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x
x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x 11 x x x x x x
x x x x x x x x x x x x x x x x x x x x x 10 x x x x x x x x x x x x x x x x x x x x x x x x x x x x
x x x x x x x x x x x x 19 x x x x x 17 x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x 17
x x x x 19 x x x x x x x x x x x x 17 x x x x x x x x x x x x x x x x x x x 18 x x x x 10 x x x x x x 17
x x x x x x x x x x x x x x x x x x x x 10 x x x x x x x x x x x x x x x x x x 10 x x x x x x x x x x
x x x x x x x x x x x x x x x x x x x 10 x 19 x x x x x x 19 x x x x x x x x x 17 x x x x x x 10 x x x x
x 19 x x x x x x x x x x x x x x 10 x x x 19 x x x x x x x x x x x x x x x x 15 14 x x x x x x x x x x x
10 13 11 14 x x x x x x 14 x x x x x x x x x x x x 12 x x x x x x x x x x x x x 11 x x x x x x x x x x x x
x x 16 x x x x x x x x x x x x x x x x x x x 12 x x x x x x x x x x x x x 16 x x x x x x x x x x x x x
x x x 16 x x x x x x x x x x x x x x x x x x x x x 18 x x x x 16 x x x x x x x x x x x x x x x x x x x
x x x x 18 x x x x x x x x x x x x x x x x x x x 18 x x x x x x x x x x x x x x x x x x x x x x x x x
x x x x 17 x x x x x x x x x x x x x x x x x x x x x x 17 x x x x x x x x x x x x x x x x x x x x x x
x x x x x 10 x x x x x x x x x x x x x x x x x x x x 17 x x x x x x x x x x x x x x x x x x x x x x x
x x x x x 11 x x x x x x x x x x x x x x 19 x x x x x x x x 18 x x x x x x x x x x x x x x x x x x x x
x x x x x x x x x x x x x x x x x x x x x x x x x x x x 18 x 12 12 x x x x x x x x x x x x x x x x x x
x x x x x x x x x x x x x x x x x x x x x x x x 16 x x x x 12 x x x x x 18 x x x x x x x x x x x x x x
16 x x x x x x x x x x x x x x x x x x x x x x x x x x x x 12 x x 14 x 15 17 x x x x x x x x x x x x x x
x x x x x x 18 x x x x x x x x x x x x x x x x x x x x x x x x 14 x x x x x x x x x x x x x x x x x x
x x x x x x x 19 x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x 13 x x x x x x x x x x x
x x x x x x x x 10 x x x x x x x x x x x x x x x x x x x x x x 15 x x x 14 x x x x x x x x x x x x x x
x x x x x x x x x 16 x x x x x x x x x x x x x x x x x x x x 18 17 x x 14 x x x x x x x 10 x x x x x x x
x x x 16 x x x x x 12 11 x x x x x x x x x x x x 16 x x x x x x x x x x x x x x x x x x x x x x x x x x
x x x x x x x x x x 18 x x x x x x x 18 x x 15 11 x x x x x x x x x x x x x x x x 12 x x x x x x x x x x
x x x x x x x x x x x x x x x x x x x x 17 14 x x x x x x x x x x x 13 x x x x x x x x x x x x x x x x
x x x x x x x x x x x 14 x x x x x x x 10 x x x x x x x x x x x x x x x x x 12 x x x x x x x x x x x x
x x x x x x x x x x x 14 18 x x x x x x x x x x x x x x x x x x x x x x x x x x x x x 11 12 x x x x x x
x 15 x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x
x x x x x x x x x 14 x 16 x x x x x x 10 x x x x x x x x x x x x x x x x 10 x x x x 11 x x x x x 11 x x x
x x x x x x x x x x x x x x x 11 x x x x x x x x x x x x x x x x x x x x x x x x 12 x x x x x x x x x
x x x x x x x x x x x x 14 13 x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x
x x x x x x x x x x x x x x x x x x x x 10 x x x x x x x x x x x x x x x x x x x x x x x x x x 14 x x
x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x 11 x x x x x x x
x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x 14 x x 10 x
x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x 10 x x
x x x x x x x x x x x x x x x x x 17 17 x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x
